KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記
3,ギンザメ科,Chimaeridae,シロブチギンザメ,Chimaera owstoni Tanaka 1905,,Shirobuchiginzame
3,ギンザメ科,Chimaeridae,ギンザメ,Chimaera phantasma Jordan & Snyder 1900,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，天草灘，薩南海域，大隅諸島黒島沖，屋久島沖，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；三浦（2012）「知念市場の魚」，沖縄島；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；山田・工藤（2012）神奈川県自然誌資料33:113-116，相模湾；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；Iglésias et al (2021) Ichthyol Res doi:10.1007/s10228-021-00810-9，系統解析；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；藤原ほか（2022）Ichthy, Nat Hist Fish Jpn 19:19-21，大隅諸島黒島；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸
",Ginzame
3,ギンザメ科,Chimaeridae,ココノホシギンザメ,Hydrolagus barbouri (Garman 1908),,Kokonohoshiginzame
3,ギンザメ科,Chimaeridae,ニジギンザメ,Hydrolagus eidolon (Jordan & Hubbs 1925),,Nijiginzame
3,ギンザメ科,Chimaeridae,アカギンザメ,Hydrolagus mitsukurii (Jordan & Snyder 1904),"
Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；福井ほか（2015）Nat Kagoshima 41:177-186，大隅諸島黒島沖；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島
",Akaginzame
3,ギンザメ科,Chimaeridae,ムラサキギンザメ,Hydrolagus purpurescens (Gilbert 1905),,Murasakiginzame
4,テングギンザメ科,Rhinochimaeridae,アズマギンザメ,Harriotta chaetirhampha (Tanaka 1909),"
Nakayama et al (2019) Ichthyol Res doi:10.1007/s10228-019-00703-y，これまでアズマギンザメと呼ばれていたのはHarriotta chaetirhamphaであり，Harriotta raleighanaにはヨミノツカイ（新称）が提唱された
",Azumaginzame
4,テングギンザメ科,Rhinochimaeridae,ヨミノツカイ,Harriotta raleighana Goode & Bean 1895,"
Nakayama et al (2019) Ichthyol Res doi:10.1007/s10228-019-00703-y，これまでアズマギンザメと呼ばれていたのはHarriotta chaetirhamphaであり，Harriotta raleighanaにはヨミノツカイ（新称）が提唱された；Harriotta raleighanaの日本からの記録は日向灘産の2個体のみ
",Yominotsukai
4,テングギンザメ科,Rhinochimaeridae,クロテングギンザメ,"Rhinochimaera africana Compagno, Stehmann & Ebert 1990","
Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島
",Kurotenguginzame
4,テングギンザメ科,Rhinochimaeridae,テングギンザメ,Rhinochimaera pacifica (Mitsukuri 1895),,Tenguginzame
5,ネコザメ科,Heterodontidae,ネコザメ,Heterodontus japonicus Miklouho-Maclay & Macleay 1884,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，薩南海域，宇治群島沖；山下ほか（2012）Nat Kagoshima 38:119-138，大隅半島東岸；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；中村・本村（2019）Nat Kagoshima 45:373-375，トカラ列島平島；中村ほか（2019）Nat Kagoshima 46:251-253，屋久島；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；Motomura (2020) Ichthyofaunal Studies in the Tokara Is，平島；小枝ほか（2020）「大隅市場魚類図鑑」；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸
",Nekozame
5,ネコザメ科,Heterodontidae,シマネコザメ,Heterodontus zebra (Gray 1831),"
山下ほか（2012）Nat Kagoshima 38:119-138，東シナ海
",Shimanekozame
6,クラカケザメ科,Parascylliidae,ヒゲザメ,Cirrhoscyllium expolitum Smith & Radcliffe 1913,,Higezame
6,クラカケザメ科,Parascylliidae,クラカケザメ,Cirrhoscyllium japonicum Kamohara 1943,"
三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Kurakakezame
7,オオセ科,Orectolobidae,オオセ,Orectolobus japonicus Regan 1906,"
竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，静岡県下田；本村ほか（2019）「奄美群島の魚類」；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Ose
8,テンジクザメ科,Hemiscylliidae,シマザメ,Chiloscyllium griseum Müller & Henle 1838,,Shimazame
8,テンジクザメ科,Hemiscylliidae,テンジクザメ,Chiloscyllium plagiosum (Anonymous 1830),"
シロボシテンジクとテンジクザメが同種であり，前者が抹消；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；岩坪・本村（2017）「鹿児島湾の魚類」；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Tenjikuzame
8,テンジクザメ科,Hemiscylliidae,イヌザメ,Chiloscyllium punctatum Müller & Henle 1838,"
Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側
",Inuzame
8.1,トラフザメ科,Stegostomatidae,トラフザメ,Stegostoma tigrinum (Forster 1781),"
Rhincodontidae→Stegostomatidae；三浦（2012）「知念市場の魚」，沖縄島；小枝ほか（2018）「内之浦の魚類」；Dahl et al (2019) Copeia 107:524-541，Stegostoma fasciatum (Hermann 1783)は新参異名；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Torafuzame
8.2,コモリザメ科,Ginglymostomatidae,オオテンジクザメ,Nebrius ferrugineus (Lesson 1831),"
Rhincodontidae→Ginglymostomatidae；下瀬（2021）「沖縄さかな図鑑」，沖縄県
",Otenjikuzame
9,ジンベエザメ科,Rhincodontidae,ジンベエザメ,Rhincodon typus Smith 1828,"
Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，沖縄県；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Jimbezame
10,ミツクリザメ科,Mitsukurinidae,ミツクリザメ,Mitsukurina owstoni Jordan 1898,"
三澤ほか（2016）板鰓類研究会報52:12-16，茨城県；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，神奈川県；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Mitsukurizame
11,オオワニザメ科,Odontaspididae,シロワニ,Carcharias taurus Rafinesque 1810,,Shirowani
11,オオワニザメ科,Odontaspididae,オオワニザメ,Odontaspis ferox (Risso 1810),"
渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，相模湾；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸
",Owanizame
12,ミズワニ科,Pseudocarchariidae,ミズワニ,Pseudocarcharias kamoharai (Matsubara 1936),"
山下ほか（2012）Nat Kagoshima 38:119-138，東シナ海
",Mizuwani
13,メガマウスザメ科,Megachasmidae,メガマウスザメ,"Megachasma pelagios Taylor, Compagno & Struhsaker 1983","
渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，静岡県御前崎；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Megamausuzame
14,ウバザメ科,Cetorhinidae,ウバザメ,Cetorhinus maximus (Gunnerus 1765),"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；崎山ほか（2017）神奈川自然誌資料38:83-86，相模湾；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，茨城県大洗；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；加登岡ほか（2022）神奈川県自然誌資料43:53-60，相模湾
",Ubazame
15,ネズミザメ科,Lamnidae,ホホジロザメ,Carcharodon carcharias (Linnaeus 1758),"
Koeda et al (2016) Fishes of Yonaguni，与那国島；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，神奈川県川崎，高知県以布利；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；崎山ほか（2021）神奈川自然誌資料42:47-52，相模湾；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Hohojirozame
15,ネズミザメ科,Lamnidae,アオザメ,Isurus oxyrinchus Rafinesque 1810,"
山下ほか（2012）Nat Kagoshima 38:119-138，鹿児島湾，大隅半島東岸；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Aozame
15,ネズミザメ科,Lamnidae,バケアオザメ,Isurus paucus Guitart Manday 1966,,Bakeaozame
15,ネズミザメ科,Lamnidae,ネズミザメ,Lamna ditropis Hubbs & Follett 1947,,Nezumizame
16,オナガザメ科,Alopiidae,ニタリ,Alopias pelagicus Nakamura 1935,"
山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Nitari
16,オナガザメ科,Alopiidae,ハチワレ,Alopias superciliosus Lowe 1841,"
渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；井藤ほか（2020）南紀生物62:63-66，徳島県；小枝ほか（2020）「大隅市場魚類図鑑」
",Hachiware
16,オナガザメ科,Alopiidae,マオナガ,Alopias vulpinus (Bonnaterre 1788),"
山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，神奈川県走水；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Maonaga
17,トラザメ科,Scyliorhinidae,サンゴトラザメ,Atelomycterus marmoratus (Anonymous 1830),"
木村ほか（2017）「口永良部島の魚類」
",Sangotorazame
17,トラザメ科,Scyliorhinidae,ナヌカザメ,Cephaloscyllium umbratile Jordan & Fowler 1903,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；山下ほか（2012）Nat Kagoshima 38:119-138，鹿児島湾，薩摩半島西岸；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；村瀬ほか（2019）「門川の魚類」；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸
",Nanukazame
17,トラザメ科,Scyliorhinidae,フカミトラザメ,"Scyliorhinus hachijoensis Ito, Fujii, Nohara & Tanaka 2022",Ito et al (2022) Zootaxa 5092:331-349，伊豆諸島（御蔵島，八丈島，鳥島）,Fukamitorazame
17,トラザメ科,Scyliorhinidae,トラザメ,Scyliorhinus torazame (Tanaka 1908),"
北島ほか（1976）西海区水産研究所研究報告48:47-92，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸，東シナ海；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，東京湾；Soares & Carvalho (2019) Zootaxa 4601:1-147，イズハナトラザメScyliorhinus tokubee Shirai, Hagiwara & Nakaya 1992はトラザメScyliorhinus torazame (Tanaka 1908)の新参異名；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；Ito et al (2022) Zootaxa 5092:331-349，北海道，青森県，福島県，茨城県，千葉県，神奈川県，伊豆大島，静岡県，愛知県，新潟県，京都府，兵庫県，山口県，長崎県，薩摩半島西岸，屋久島，沖縄県，波照間島，東シナ海；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；佐藤ほか（2022）「北の磯魚生態図鑑」，北日本
",Torazame
17.1,ヘラザメ科,Pentanchidae,アラメヘラザメ,Apristurus fedorovi Dolganov 1983,"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱
",Arameherazame
17.1,ヘラザメ科,Pentanchidae,ナンカイヘラザメ,"Apristurus gibbosus Meng, Chu & Li 1985","
Nakaya & Kawauchi (2013) Zootaxa 3752:130-171，東シナ海（徳之島の西方）日本初記録；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Nankaiherazame
17.1,ヘラザメ科,Pentanchidae,ヤリヘラザメ,Apristurus herklotsi (Fowler 1934),"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；Nakaya & Kawauchi (2013) Zootaxa 3752:130-171，千葉県～土佐湾，東シナ海；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Yariherazame
17.1,ヘラザメ科,Pentanchidae,ニホンヘラザメ,Apristurus japonicus Nakaya 1975,"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；本村ほか（2019）「奄美群島の魚類」；三澤ほか（2020）魚類学雑誌doi:10.11369/jji.20–023，東北太平洋沖
",Nihonherazame
17.1,ヘラザメ科,Pentanchidae,テングヘラザメ,Apristurus longicephalus Nakaya 1975,"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；Nakaya & Kawauchi (2013) Zootaxa 3752:130-171，土佐湾，東シナ海；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Tenguherazame
17.1,ヘラザメ科,Pentanchidae,ナガヘラザメ,Apristurus macrorhynchus (Tanaka 1909),"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，浦賀水道；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Nagaherazame
17.1,ヘラザメ科,Pentanchidae,リュウキュウヘラザメ,"Apristurus macrostomus Chu, Meng & Li 1985","
Nakaya & Kawauchi (2013) Zootaxa 3752:130-171，土佐湾，琉球列島南部
",Ryukyuherazame
17.1,ヘラザメ科,Pentanchidae,ヘラザメ,Apristurus platyrhynchus (Tanaka 1909),"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；Nakaya & Kawauchi (2013) Zootaxa 3752:130-171，駿河湾～土佐湾，東シナ海；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Herazame
17.1,ヘラザメ科,Pentanchidae,ヤモリザメ,Galeus eastmani (Jordan & Snyder 1904),"
北島ほか（1976）西海区水産研究所研究報告48:47-92，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸，東シナ海；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，浦賀水道；三澤ほか（2019）板鰓類研究会報55:31-54，高知県
",Yamorizame
17.1,ヘラザメ科,Pentanchidae,ハシナガヤモリザメ,Galeus longirostris Tachikawa & Taniuchi 1987,"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱
",Hashinagayamorizame
17.1,ヘラザメ科,Pentanchidae,ニホンヤモリザメ,Galeus nipponensis Nakaya 1975,"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；Kuriiwa et al (2014) CheckList 10:1479-1501，豆南諸島；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；工藤ほか（2019）神奈川自然誌資料40:49-58，三浦半島；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；三澤ほか（2020）魚類学雑誌doi:10.11369/jji.20–023，東北太平洋沖；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；川瀬（2022）「千葉県勝浦沖キンメ場の魚」，千葉県勝浦沖
",Nihon-yamorizame
17.1,ヘラザメ科,Pentanchidae,タイワンヤモリザメ,Galeus sauteri (Jordan & Richardson 1909),"
Iglésias et al (2005) Mol Phylogen Evol 34:569-583，ScyliorhinidaeからPentanchidaeへ変更（Dyldin (2015) Pub Seto Mar Biol Lab 43:40-91）；萬代（2018）「奄美群島の魚類」，Pentanchidaeの新和名ヘラザメ科を提唱
",Taiwan-yamorizame
